batter,dSwing|Swing_mean,dSwing|Take_mean,dTake|Take_mean,dTake|Swing_mean,dSwing_mean,dTake_mean,NetTotal_mean
Adam Duvall,18.9355,-7.5184,5.989,-2.2767,5.1098,3.3284,4.3134
Adam Eaton,9.0238,-6.5729,10.3397,-0.4921,2.7066,5.6677,4.164
Adam Jones,12.3607,-6.8396,7.5658,-0.1064,3.7707,4.9396,4.2099
Addison Russell,8.8528,-7.0841,7.5504,-0.5226,1.8558,4.4337,3.0374
Adeiny Hechavarria,7.3769,-8.022,5.053,-1.1343,0.4531,2.7357,1.5015
Adonis Garcia,12.0404,-8.1916,4.4628,-0.939,2.955,2.3742,2.7066
Adrian Beltre,13.2955,-8.404,7.5031,-1.0237,3.8805,4.3274,4.0956
Adrian Gonzalez,11.5864,-6.8124,8.1484,-0.3902,4.5338,4.82,4.6751
Albert Pujols,9.5999,-7.8222,6.4789,-0.96,2.5356,3.691,3.1274
Alcides Escobar,7.6032,-7.3568,4.7027,-0.3442,0.9672,2.9117,1.8211
Alex Gordon,10.3722,-7.0829,8.2979,-1.7594,2.1592,4.9827,3.6517
Alexei Ramirez,9.2116,-9.2493,5.1994,-1.0396,1.3091,2.4812,1.8868
Andrew McCutchen,8.8761,-6.6005,8.0235,-0.5008,3.465,4.3969,3.9322
Angel Pagan,9.5082,-7.6206,7.27,-0.7561,2.5958,3.8018,3.2752
Anthony Rendon,11.1497,-6.1895,6.4141,-1.3005,4.8111,3.2941,4.0088
Anthony Rizzo,11.6329,-7.601,9.4186,-0.8043,4.7414,5.0909,4.9206
Asdrubal Cabrera,9.1149,-5.7727,8.647,-0.1655,3.4213,5.1853,4.2416
Ben Zobrist,15.3752,-7.1259,9.9711,-0.3,6.6074,5.8501,6.1391
Brad Miller,10.9229,-8.1398,7.3166,-1.7288,3.3541,4.3921,3.8432
Brandon Belt,10.1046,-5.8692,11.7808,-0.7279,3.8513,7.7314,5.7049
Brandon Crawford,11.6885,-6.915,8.2722,-0.6252,4.1386,5.1536,4.5974
Brandon Phillips,8.3601,-7.4434,4.5647,-0.5138,1.0779,2.7942,1.7631
Brett Gardner,10.645,-6.6508,9.2361,-0.881,3.7571,4.5667,4.2431
Brian Dozier,10.0171,-5.7672,7.6097,-0.9663,3.7709,4.5236,4.1769
Bryce Harper,12.7628,-6.423,12.3178,-0.678,5.4573,7.1524,6.3703
Buster Posey,12.486,-8.52,7.8967,-0.8457,4.361,4.6204,4.4908
Carlos Beltran,13.4708,-8.1325,6.9342,-0.5186,4.5315,3.6144,4.0611
Carlos Correa,13.4417,-7.1381,9.2824,-1.3259,4.4772,5.1821,4.8445
Carlos Gonzalez,13.4905,-7.5908,7.561,-0.1924,4.4453,4.443,4.4443
Carlos Santana,10.7102,-7.4902,11.7008,-0.4143,3.9895,6.8548,5.6363
Cesar Hernandez,8.2006,-7.6603,8.1053,-1.0706,1.4118,5.1885,3.3002
Charlie Blackmon,9.6462,-6.9767,6.8559,-0.9324,2.9718,3.0787,3.0241
