batter,dSwing|Swing,dSwing|Take,dTake|Take,dTake|Swing,dSwing,dTake,NetTotal
Adam Duvall,87.86,-38.19,31.92,-5.76,49.67,26.16,75.83
Adam Eaton,66.14,-32.8,70.21,-2.53,33.35,67.67,101.02
Adam Jones,92.83,-41.58,40.7,-0.3,51.24,40.41,91.65
Addison Russell,62.32,-39.03,49.23,-2.14,23.29,47.09,70.38
Adeiny Hechavarria,38.29,-34.01,25.32,-3.4,4.27,21.91,26.19
Adonis Garcia,63.81,-35.39,19.68,-2.61,28.43,17.07,45.5
Adrian Beltre,87.09,-42.19,50.57,-4.09,44.9,46.48,91.37
Adrian Gonzalez,84.81,-31.0,57.53,-1.76,53.82,55.77,109.58
Albert Pujols,62.5,-34.73,46.58,-4.14,27.77,42.45,70.21
Alcides Escobar,54.36,-41.93,30.52,-1.23,12.43,29.29,41.72
Alex Gordon,48.44,-29.39,55.02,-5.74,19.04,49.28,68.32
Alexei Ramirez,44.68,-33.57,24.18,-3.73,11.1,20.45,31.55
Andrew McCutchen,70.83,-28.32,56.89,-2.63,42.52,54.26,96.77
Angel Pagan,47.92,-25.99,45.0,-3.56,21.93,41.44,63.38
Anthony Rendon,76.82,-24.57,46.57,-6.41,52.25,40.15,92.4
Anthony Rizzo,96.67,-35.27,74.03,-4.64,61.4,69.39,130.79
Asdrubal Cabrera,57.7,-22.63,46.78,-0.58,35.07,46.2,81.27
Ben Zobrist,94.4,-27.93,97.32,-1.96,66.47,95.36,161.83
Brad Miller,71.33,-35.0,47.78,-5.39,36.33,42.38,78.71
Brandon Belt,79.32,-29.64,94.01,-2.78,49.68,91.23,140.91
Brandon Crawford,83.34,-33.68,53.19,-2.17,49.66,51.02,100.68
Brandon Phillips,51.75,-39.38,22.69,-1.37,12.37,21.32,33.69
Brett Gardner,58.23,-24.08,67.89,-5.55,34.15,62.34,96.49
Brian Dozier,70.82,-26.7,66.74,-4.76,44.12,61.97,106.09
Bryce Harper,85.51,-26.46,93.74,-3.4,59.05,90.33,149.38
Buster Posey,81.16,-34.93,52.43,-3.37,46.23,49.07,95.3
Carlos Beltran,75.57,-32.2,38.76,-2.33,43.37,36.43,79.8
Carlos Correa,84.82,-34.76,69.25,-6.23,50.06,63.01,113.07
Carlos Gonzalez,89.58,-37.88,42.27,-0.72,51.7,41.54,93.24
Carlos Santana,76.47,-31.31,107.41,-2.54,45.16,104.88,150.04
